user_id,product_id,interaction_type
1,145,purchase
1,69,cart
1,102,purchase
1,5,cart
1,191,cart
1,389,purchase
2,270,view
2,384,cart
2,165,cart
2,19,view
2,92,purchase
2,209,purchase
2,486,purchase
2,453,view
2,218,cart
2,246,purchase
2,25,cart
2,467,cart
2,189,purchase
3,446,view
3,323,cart
3,69,purchase
3,86,cart
3,106,view
3,484,view
3,338,view
3,244,cart
3,19,view
3,65,cart
3,133,cart
3,239,view
3,469,purchase
3,161,view
3,455,view
4,218,purchase
4,122,cart
4,70,cart
4,89,cart
4,220,view
4,218,view
4,9,purchase
5,26,view
5,294,view
5,121,purchase
5,470,purchase
5,74,purchase
5,305,purchase
6,174,purchase
6,78,purchase
6,166,purchase
6,227,purchase
6,68,purchase
6,417,view
6,327,cart
6,39,cart
6,229,purchase
6,250,cart
6,362,purchase
6,25,purchase
6,353,cart
6,210,purchase
6,59,view
7,39,view
7,174,purchase
7,483,purchase
7,65,cart
7,214,cart
7,35,cart
7,213,cart
7,283,view
7,50,view
7,432,view
7,128,purchase
7,29,purchase
7,160,purchase
7,51,purchase
7,359,purchase
7,29,cart
8,378,purchase
8,333,cart
8,178,view
8,406,purchase
8,370,cart
8,318,view
8,372,cart
8,252,purchase
8,397,view
8,464,cart
8,472,view
9,183,view
9,185,purchase
9,342,cart
9,497,view
9,202,cart
9,88,purchase
9,57,view
9,198,view
9,150,purchase
9,279,view
9,173,view
9,130,purchase
10,88,purchase
10,304,cart
10,490,view
10,274,cart
10,246,view
10,471,cart
10,490,cart
10,380,purchase
10,366,purchase
10,75,cart
10,246,purchase
10,370,view
10,438,cart
11,394,view
11,130,purchase
11,292,view
11,256,purchase
11,64,cart
11,255,purchase
11,324,purchase
11,337,purchase
11,354,purchase
11,264,cart
11,294,cart
11,167,view
11,219,view
11,426,view
11,414,view
12,221,purchase
12,468,view
12,110,cart
12,185,cart
12,430,cart
12,359,cart
12,299,purchase
12,312,purchase
12,17,cart
12,308,view
12,241,cart
12,401,cart
12,73,view
12,111,cart
12,123,purchase
13,84,view
13,374,cart
13,178,cart
13,281,view
13,204,view
13,77,view
13,431,purchase
13,216,view
14,294,view
14,388,purchase
14,257,cart
14,214,purchase
14,475,view
14,64,cart
14,396,purchase
14,383,view
14,375,cart
14,165,purchase
14,415,cart
14,158,cart
15,297,purchase
15,240,purchase
15,346,cart
15,33,purchase
15,461,purchase
15,68,view
15,438,view
15,216,purchase
15,334,purchase
15,57,view
15,382,cart
15,198,view
15,413,cart
15,88,view
15,227,purchase
15,55,view
15,480,purchase
15,397,cart
16,469,view
16,79,cart
16,363,cart
16,79,purchase
16,327,view
17,47,view
17,209,purchase
17,307,cart
17,422,cart
17,129,purchase
17,473,view
17,455,cart
17,83,purchase
17,42,cart
17,347,cart
17,236,cart
17,432,purchase
17,445,purchase
17,169,cart
17,322,purchase
17,334,view
18,303,view
18,474,cart
18,329,purchase
18,131,purchase
18,209,purchase
18,151,cart
18,464,purchase
18,118,view
18,483,purchase
18,399,view
18,228,purchase
18,98,cart
18,150,purchase
19,385,view
19,58,cart
19,458,purchase
19,213,cart
19,220,purchase
19,258,purchase
19,232,cart
19,442,purchase
19,126,purchase
19,33,view
20,422,purchase
20,68,view
20,157,cart
20,18,cart
20,284,purchase
20,310,cart
20,31,purchase
20,171,cart
20,32,purchase
21,205,cart
21,207,cart
21,487,cart
21,384,purchase
21,308,cart
21,455,view
21,227,purchase
21,153,cart
21,392,cart
21,295,purchase
21,256,cart
21,283,cart
21,465,view
21,455,cart
21,53,cart
21,413,cart
22,465,view
22,11,purchase
22,221,view
22,368,purchase
22,196,view
22,367,purchase
22,83,view
22,302,purchase
22,169,purchase
22,453,cart
22,441,view
22,422,cart
22,224,cart
22,439,view
23,50,cart
23,4,cart
23,38,view
