product_id,name,category,material,color,style,price,rating,description
0,Modern Sofa,Sofa,Glass,White,Contemporary,7837.36,2.8,Contemporary White Glass Sofa
1,Modern Wardrobe,Wardrobe,Leather,Brown,Modern,2460.06,3.0,Modern Brown Leather Wardrobe
2,Industrial Wardrobe,Wardrobe,Wood,Beige,Contemporary,36084.96,4.3,Contemporary Beige Wood Wardrobe
3,Contemporary Bed,Bed,Fabric,Beige,Vintage,40662.09,2.5,Vintage Beige Fabric Bed
4,Minimalist Chair,Chair,Glass,Grey,Contemporary,11550.37,4.4,Contemporary Grey Glass Chair
5,Modern Sofa,Sofa,Fabric,Black,Vintage,42527.22,4.0,Vintage Black Fabric Sofa
6,Minimalist Sofa,Sofa,Leather,Black,Minimalist,4861.21,3.2,Minimalist Black Leather Sofa
7,Vintage Wardrobe,Wardrobe,Leather,White,Modern,3245.39,3.1,Modern White Leather Wardrobe
8,Modern Table,Table,Metal,Black,Minimalist,14620.71,4.1,Minimalist Black Metal Table
9,Contemporary Table,Table,Glass,Grey,Contemporary,33838.58,4.3,Contemporary Grey Glass Table
10,Industrial Sofa,Sofa,Metal,Beige,Contemporary,9006.72,3.4,Contemporary Beige Metal Sofa
11,Contemporary Wardrobe,Wardrobe,Glass,Black,Contemporary,41268.33,4.5,Contemporary Black Glass Wardrobe
12,Vintage Bed,Bed,Wood,White,Industrial,43942.01,3.3,Industrial White Wood Bed
13,Minimalist Bed,Bed,Fabric,White,Vintage,7841.89,4.4,Vintage White Fabric Bed
14,Vintage Wardrobe,Wardrobe,Leather,Brown,Industrial,20570.62,3.0,Industrial Brown Leather Wardrobe
15,Industrial Chair,Chair,Fabric,Black,Modern,43194.04,2.9,Modern Black Fabric Chair
16,Minimalist Chair,Chair,Leather,Black,Minimalist,19699.35,5.0,Minimalist Black Leather Chair
17,Vintage Wardrobe,Wardrobe,Leather,Black,Modern,34403.81,3.8,Modern Black Leather Wardrobe
18,Vintage Table,Table,Wood,Grey,Minimalist,8749.73,2.5,Minimalist Grey Wood Table
19,Industrial Table,Table,Metal,Beige,Modern,43655.41,3.2,Modern Beige Metal Table
20,Industrial Wardrobe,Wardrobe,Metal,White,Vintage,38363.03,3.8,Vintage White Metal Wardrobe
21,Modern Wardrobe,Wardrobe,Leather,Grey,Minimalist,1954.36,4.8,Minimalist Grey Leather Wardrobe
22,Contemporary Table,Table,Wood,White,Industrial,47400.52,2.7,Industrial White Wood Table
23,Modern Bed,Bed,Leather,White,Contemporary,33327.79,4.9,Contemporary White Leather Bed
24,Vintage Chair,Chair,Leather,Beige,Minimalist,48253.78,4.8,Minimalist Beige Leather Chair
25,Vintage Chair,Chair,Fabric,Blue,Vintage,22466.9,3.8,Vintage Blue Fabric Chair
26,Contemporary Sofa,Sofa,Metal,Black,Vintage,2030.68,3.9,Vintage Black Metal Sofa
27,Contemporary Wardrobe,Wardrobe,Wood,Black,Modern,12218.15,4.8,Modern Black Wood Wardrobe
28,Modern Table,Table,Leather,White,Vintage,33779.91,3.0,Vintage White Leather Table
29,Industrial Chair,Chair,Leather,Brown,Contemporary,39446.35,4.5,Contemporary Brown Leather Chair
30,Modern Chair,Chair,Wood,Blue,Minimalist,18360.58,3.5,Minimalist Blue Wood Chair
31,Modern Sofa,Sofa,Wood,Brown,Vintage,40229.03,2.8,Vintage Brown Wood Sofa
32,Contemporary Chair,Chair,Leather,Brown,Contemporary,21672.2,3.2,Contemporary Brown Leather Chair
33,Modern Chair,Chair,Fabric,Beige,Modern,3478.83,5.0,Modern Beige Fabric Chair
34,Modern Sofa,Sofa,Metal,White,Minimalist,24796.42,3.0,Minimalist White Metal Sofa
35,Modern Bed,Bed,Metal,Brown,Modern,49280.13,3.2,Modern Brown Metal Bed
36,Vintage Bed,Bed,Fabric,Blue,Industrial,33431.69,3.7,Industrial Blue Fabric Bed
37,Vintage Chair,Chair,Metal,Black,Industrial,37051.12,2.7,Industrial Black Metal Chair
38,Modern Table,Table,Wood,Beige,Minimalist,25639.67,4.6,Minimalist Beige Wood Table
39,Modern Chair,Chair,Leather,Black,Contemporary,4357.55,2.7,Contemporary Black Leather Chair
40,Minimalist Chair,Chair,Wood,Beige,Contemporary,29367.03,2.6,Contemporary Beige Wood Chair
41,Minimalist Sofa,Sofa,Leather,Beige,Industrial,16502.12,3.2,Industrial Beige Leather Sofa
42,Contemporary Table,Table,Glass,Brown,Contemporary,33912.82,3.2,Contemporary Brown Glass Table
43,Modern Table,Table,Wood,Brown,Industrial,49924.27,5.0,Industrial Brown Wood Table
44,Industrial Sofa,Sofa,Metal,Beige,Vintage,7490.37,3.4,Vintage Beige Metal Sofa
45,Contemporary Sofa,Sofa,Glass,Grey,Contemporary,22471.04,3.9,Contemporary Grey Glass Sofa
46,Industrial Table,Table,Leather,Black,Industrial,15669.56,4.2,Industrial Black Leather Table
47,Vintage Chair,Chair,Wood,Black,Industrial,8616.95,3.2,Industrial Black Wood Chair
48,Vintage Chair,Chair,Metal,Blue,Vintage,25765.04,3.1,Vintage Blue Metal Chair
49,Modern Sofa,Sofa,Fabric,Grey,Modern,1173.74,4.4,Modern Grey Fabric Sofa
50,Contemporary Table,Table,Fabric,Beige,Minimalist,28484.44,2.8,Minimalist Beige Fabric Table
51,Industrial Chair,Chair,Wood,Grey,Industrial,28073.73,3.6,Industrial Grey Wood Chair
52,Vintage Sofa,Sofa,Glass,Black,Vintage,11293.75,3.1,Vintage Black Glass Sofa
53,Vintage Sofa,Sofa,Leather,Brown,Industrial,37724.4,4.8,Industrial Brown Leather Sofa
54,Contemporary Chair,Chair,Metal,Brown,Modern,9788.67,4.8,Modern Brown Metal Chair
55,Contemporary Bed,Bed,Glass,White,Modern,19744.54,2.6,Modern White Glass Bed
56,Contemporary Bed,Bed,Metal,Brown,Vintage,15954.35,4.5,Vintage Brown Metal Bed
57,Contemporary Chair,Chair,Wood,Blue,Contemporary,20524.83,3.2,Contemporary Blue Wood Chair
58,Vintage Sofa,Sofa,Glass,Blue,Industrial,20584.24,5.0,Industrial Blue Glass Sofa
59,Vintage Wardrobe,Wardrobe,Wood,Black,Vintage,9749.82,4.9,Vintage Black Wood Wardrobe
60,Modern Table,Table,Wood,Beige,Minimalist,17938.67,4.5,Minimalist Beige Wood Table
61,Industrial Bed,Bed,Leather,Black,Minimalist,45075.73,3.0,Minimalist Black Leather Bed
62,Minimalist Sofa,Sofa,Wood,Beige,Industrial,34656.0,4.9,Industrial Beige Wood Sofa
63,Vintage Chair,Chair,Fabric,Black,Vintage,31534.62,4.2,Vintage Black Fabric Chair
64,Vintage Sofa,Sofa,Leather,Grey,Minimalist,16982.96,4.2,Minimalist Grey Leather Sofa
65,Contemporary Wardrobe,Wardrobe,Metal,Brown,Minimalist,34188.58,4.8,Minimalist Brown Metal Wardrobe
66,Industrial Wardrobe,Wardrobe,Glass,Brown,Industrial,41852.53,3.3,Industrial Brown Glass Wardrobe
67,Minimalist Chair,Chair,Leather,Beige,Vintage,23784.42,3.6,Vintage Beige Leather Chair
68,Industrial Chair,Chair,Fabric,Blue,Contemporary,33283.69,3.2,Contemporary Blue Fabric Chair
69,Vintage Wardrobe,Wardrobe,Wood,White,Vintage,12007.39,3.0,Vintage White Wood Wardrobe
70,Modern Sofa,Sofa,Metal,Brown,Industrial,42637.15,2.7,Industrial Brown Metal Sofa
71,Industrial Bed,Bed,Metal,Blue,Minimalist,25224.48,3.1,Minimalist Blue Metal Bed
72,Modern Sofa,Sofa,Fabric,White,Contemporary,40401.38,4.2,Contemporary White Fabric Sofa
73,Modern Bed,Bed,Leather,White,Modern,23366.63,4.5,Modern White Leather Bed
74,Industrial Wardrobe,Wardrobe,Leather,Grey,Minimalist,31019.96,4.3,Minimalist Grey Leather Wardrobe
75,Minimalist Wardrobe,Wardrobe,Leather,Brown,Contemporary,37439.12,3.7,Contemporary Brown Leather Wardrobe
76,Contemporary Table,Table,Glass,Beige,Minimalist,31710.67,3.2,Minimalist Beige Glass Table
77,Vintage Sofa,Sofa,Metal,Grey,Vintage,16665.77,3.9,Vintage Grey Metal Sofa
78,Contemporary Chair,Chair,Metal,Brown,Contemporary,35614.54,2.7,Contemporary Brown Metal Chair
79,Vintage Bed,Bed,Leather,Brown,Minimalist,4051.02,4.6,Minimalist Brown Leather Bed
80,Industrial Bed,Bed,Wood,Beige,Minimalist,24372.01,4.9,Minimalist Beige Wood Bed
81,Minimalist Table,Table,Fabric,Beige,Industrial,40193.54,4.7,Industrial Beige Fabric Table
82,Contemporary Bed,Bed,Glass,Brown,Minimalist,2422.22,3.3,Minimalist Brown Glass Bed
83,Contemporary Bed,Bed,Fabric,White,Industrial,27172.06,4.8,Industrial White Fabric Bed
84,Industrial Wardrobe,Wardrobe,Wood,Black,Minimalist,7649.27,3.7,Minimalist Black Wood Wardrobe
85,Vintage Sofa,Sofa,Fabric,Grey,Contemporary,23280.27,3.3,Contemporary Grey Fabric Sofa
86,Vintage Bed,Bed,Fabric,Grey,Modern,24045.03,4.4,Modern Grey Fabric Bed
87,Vintage Sofa,Sofa,Metal,Blue,Modern,39280.42,4.1,Modern Blue Metal Sofa
88,Contemporary Sofa,Sofa,Metal,Black,Industrial,8466.73,2.8,Industrial Black Metal Sofa
89,Industrial Sofa,Sofa,Metal,Brown,Vintage,38578.01,2.9,Vintage Brown Metal Sofa
90,Modern Wardrobe,Wardrobe,Metal,Grey,Modern,29355.55,4.8,Modern Grey Metal Wardrobe
91,Minimalist Wardrobe,Wardrobe,Fabric,Blue,Contemporary,4723.83,4.2,Contemporary Blue Fabric Wardrobe
92,Modern Chair,Chair,Glass,Blue,Industrial,40470.87,4.5,Industrial Blue Glass Chair
93,Modern Wardrobe,Wardrobe,Glass,Beige,Minimalist,33414.55,2.7,Minimalist Beige Glass Wardrobe
