product_id,interaction_score
187,146
62,144
68,138
138,137
495,136
324,136
173,135
147,134
56,134
246,133
210,132
45,131
165,131
87,130
244,129
104,129
149,129
278,128
438,128
477,128
123,128
109,127
10,127
486,126
137,124
144,124
118,124
189,124
339,124
185,122
418,122
70,122
6,122
91,121
468,121
61,121
378,121
181,121
229,120
330,120
262,120
58,120
414,120
111,120
110,119
69,119
408,119
322,119
332,119
146,118
309,118
290,118
367,118
366,118
470,118
398,118
35,118
471,118
371,117
80,117
304,117
271,117
422,117
336,116
426,116
125,116
50,116
43,116
145,116
245,116
148,116
441,115
450,115
73,115
385,115
397,115
299,115
490,115
295,115
202,115
302,115
456,115
156,114
162,114
455,114
345,114
261,114
259,114
216,114
203,114
40,114
381,114
293,113
360,113
77,113
487,113
327,113
163,113
257,113
44,112
83,112
65,112
488,112
492,112
51,112
383,112
395,112
417,112
86,111
362,111
55,111
122,111
364,111
1,111
268,111
249,111
294,111
198,111
406,111
49,111
405,110
78,110
84,110
384,110
11,110
100,109
497,109
233,109
333,109
155,109
464,109
481,109
393,109
195,109
325,109
274,108
270,108
331,108
277,108
240,108
24,108
500,108
379,107
465,107
435,107
407,107
269,107
227,107
209,107
172,107
175,107
334,107
139,107
169,107
467,107
60,107
74,107
30,107
134,106
178,106
335,106
289,106
265,106
225,106
323,106
94,106
57,106
33,105
476,105
429,105
421,105
416,105
273,105
219,105
196,105
284,105
226,105
167,105
255,105
4,105
479,104
214,104
372,104
88,104
437,103
23,103
358,103
117,103
192,103
344,103
282,103
235,103
286,103
213,103
152,103
343,102
151,102
374,102
121,102
445,102
394,102
164,102
243,101
329,101
431,101
390,101
95,101
469,101
29,101
20,101
101,101
2,100
59,100
22,100
34,100
140,100
338,100
433,100
430,100
361,100
484,100
231,100
176,100
211,100
312,100
314,99
499,99
256,99
363,99
36,99
473,99
26,99
232,99
482,98
466,98
458,98
370,98
388,98
389,98
419,98
424,98
432,98
157,98
350,98
308,98
328,98
352,98
349,98
212,98
215,98
220,98
252,98
494,97
251,97
230,97
264,97
217,97
237,97
168,97
135,97
396,97
399,97
128,97
463,97
263,96
241,96
317,96
38,96
413,96
136,96
119,96
491,96
340,96
194,96
457,96
9,96
28,96
446,96
375,95
130,95
116,95
132,95
218,95
260,95
351,95
347,95
63,95
411,95
359,95
449,95
454,95
387,94
41,94
52,94
200,94
316,94
108,94
96,94
400,94
391,94
18,94
190,94
184,94
305,93
17,93
153,93
182,93
7,93
382,93
141,93
403,93
131,93
296,93
341,93
12,93
223,93
436,93
401,93
412,93
46,93
99,93
64,93
161,93
298,92
475,92
287,92
228,92
285,92
158,92
102,92
129,92
160,92
452,91
460,91
106,91
85,91
451,91
221,91
376,91
105,91
267,91
321,91
154,91
238,90
208,90
288,90
183,90
177,90
459,90
124,90
72,90
423,90
404,90
392,90
3,90
42,90
14,90
472,89
32,89
439,89
93,89
21,89
440,89
8,89
292,89
310,89
307,89
355,88
326,88
409,88
425,88
427,88
39,88
462,88
127,88
186,87
306,87
279,87
434,87
444,87
142,87
415,87
483,87
373,87
313,87
197,87
143,86
377,86
297,86
303,86
171,86
485,86
498,86
342,86
115,86
16,86
474,86
478,85
126,85
443,85
453,85
25,85
480,85
368,85
75,85
276,85
258,85
353,85
193,85
27,85
191,84
348,84
337,84
283,84
493,84
222,84
201,84
301,84
207,84
206,84
272,84
113,84
54,84
81,84
318,84
354,84
311,84
242,83
82,83
66,83
179,83
15,83
5,82
253,82
248,82
239,82
48,82
428,82
92,81
71,81
291,81
236,81
266,81
300,81
180,81
320,81
280,81
281,81
174,81
204,81
402,80
234,80
254,79
496,79
224,79
76,79
365,79
357,79
410,79
448,79
98,78
103,78
380,78
346,78
247,78
170,77
205,77
13,77
114,77
386,76
166,76
275,76
447,76
420,76
112,76
89,75
150,75
369,75
461,75
37,74
133,73
90,73
188,72
97,71
79,71
107,70
315,70
31,70
319,69
159,68
120,68
489,67
250,65
19,65
47,65
442,64
53,62
199,61
356,59
67,58
