user_id,product_id,interaction_type,interaction_score
1,145,purchase,3
1,69,cart,2
1,102,purchase,3
1,5,cart,2
1,191,cart,2
1,389,purchase,3
2,270,view,1
2,384,cart,2
2,165,cart,2
2,19,view,1
2,92,purchase,3
2,209,purchase,3
2,486,purchase,3
2,453,view,1
2,218,cart,2
2,246,purchase,3
2,25,cart,2
2,467,cart,2
2,189,purchase,3
3,446,view,1
3,323,cart,2
3,69,purchase,3
3,86,cart,2
3,106,view,1
3,484,view,1
3,338,view,1
3,244,cart,2
3,19,view,1
3,65,cart,2
3,133,cart,2
3,239,view,1
3,469,purchase,3
3,161,view,1
3,455,view,1
4,218,purchase,3
4,122,cart,2
4,70,cart,2
4,89,cart,2
4,220,view,1
4,218,view,1
4,9,purchase,3
5,26,view,1
5,294,view,1
5,121,purchase,3
5,470,purchase,3
5,74,purchase,3
5,305,purchase,3
6,174,purchase,3
6,78,purchase,3
6,166,purchase,3
6,227,purchase,3
6,68,purchase,3
6,417,view,1
6,327,cart,2
6,39,cart,2
6,229,purchase,3
6,250,cart,2
6,362,purchase,3
6,25,purchase,3
6,353,cart,2
6,210,purchase,3
6,59,view,1
7,39,view,1
7,174,purchase,3
7,483,purchase,3
7,65,cart,2
7,214,cart,2
7,35,cart,2
7,213,cart,2
7,283,view,1
7,50,view,1
7,432,view,1
7,128,purchase,3
7,29,purchase,3
7,160,purchase,3
7,51,purchase,3
7,359,purchase,3
7,29,cart,2
8,378,purchase,3
8,333,cart,2
8,178,view,1
8,406,purchase,3
8,370,cart,2
8,318,view,1
8,372,cart,2
8,252,purchase,3
8,397,view,1
8,464,cart,2
8,472,view,1
9,183,view,1
9,185,purchase,3
9,342,cart,2
9,497,view,1
9,202,cart,2
9,88,purchase,3
9,57,view,1
9,198,view,1
9,150,purchase,3
9,279,view,1
9,173,view,1
9,130,purchase,3
10,88,purchase,3
10,304,cart,2
10,490,view,1
10,274,cart,2
10,246,view,1
10,471,cart,2
10,490,cart,2
10,380,purchase,3
10,366,purchase,3
10,75,cart,2
10,246,purchase,3
10,370,view,1
10,438,cart,2
11,394,view,1
11,130,purchase,3
11,292,view,1
11,256,purchase,3
11,64,cart,2
11,255,purchase,3
11,324,purchase,3
11,337,purchase,3
11,354,purchase,3
11,264,cart,2
11,294,cart,2
11,167,view,1
11,219,view,1
11,426,view,1
11,414,view,1
12,221,purchase,3
12,468,view,1
12,110,cart,2
12,185,cart,2
12,430,cart,2
12,359,cart,2
12,299,purchase,3
12,312,purchase,3
12,17,cart,2
12,308,view,1
12,241,cart,2
12,401,cart,2
12,73,view,1
12,111,cart,2
12,123,purchase,3
13,84,view,1
13,374,cart,2
13,178,cart,2
13,281,view,1
13,204,view,1
13,77,view,1
13,431,purchase,3
13,216,view,1
14,294,view,1
14,388,purchase,3
14,257,cart,2
14,214,purchase,3
14,475,view,1
14,64,cart,2
14,396,purchase,3
14,383,view,1
14,375,cart,2
14,165,purchase,3
14,415,cart,2
14,158,cart,2
15,297,purchase,3
15,240,purchase,3
15,346,cart,2
15,33,purchase,3
15,461,purchase,3
15,68,view,1
15,438,view,1
15,216,purchase,3
15,334,purchase,3
15,57,view,1
15,382,cart,2
15,198,view,1
15,413,cart,2
15,88,view,1
15,227,purchase,3
15,55,view,1
15,480,purchase,3
15,397,cart,2
16,469,view,1
16,79,cart,2
16,363,cart,2
16,79,purchase,3
16,327,view,1
17,47,view,1
17,209,purchase,3
17,307,cart,2
17,422,cart,2
17,129,purchase,3
17,473,view,1
17,455,cart,2
17,83,purchase,3
17,42,cart,2
17,347,cart,2
17,236,cart,2
17,432,purchase,3
17,445,purchase,3
17,169,cart,2
17,322,purchase,3
17,334,view,1
18,303,view,1
18,474,cart,2
18,329,purchase,3
18,131,purchase,3
18,209,purchase,3
18,151,cart,2
18,464,purchase,3
18,118,view,1
18,483,purchase,3
18,399,view,1
18,228,purchase,3
18,98,cart,2
18,150,purchase,3
19,385,view,1
19,58,cart,2
19,458,purchase,3
19,213,cart,2
19,220,purchase,3
19,258,purchase,3
19,232,cart,2
19,442,purchase,3
19,126,purchase,3
19,33,view,1
20,422,purchase,3
20,68,view,1
20,157,cart,2
20,18,cart,2
20,284,purchase,3
20,310,cart,2
20,31,purchase,3
20,171,cart,2
20,32,purchase,3
21,205,cart,2
21,207,cart,2
21,487,cart,2
21,384,purchase,3
21,308,cart,2
21,455,view,1
21,227,purchase,3
21,153,cart,2
21,392,cart,2
21,295,purchase,3
21,256,cart,2
21,283,cart,2
21,465,view,1
